,yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,VisitFrequency,cluster,Gender,Age
119,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,Every three months,1,Male,51
120,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Female,24
121,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,1,Once a month,0,Female,49
122,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,5,Once a month,0,Female,55
123,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-5,Once a year,1,Male,48
124,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Every three months,0,Female,24
125,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,Every three months,1,Male,47
126,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,Once a year,1,Male,54
127,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,0,Female,23
128,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,1,Every three months,0,Female,34
129,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,3,Once a month,0,Female,32
130,No,Yes,No,No,No,Yes,Yes,No,No,No,No,3,Once a month,0,Female,58
131,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,Once a year,0,Female,46
132,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Every three months,0,Female,23
133,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a month,0,Male,31
134,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Once a year,0,Male,59
135,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0,Once a month,0,Male,47
136,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,More than once a week,0,Female,58
137,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Every three months,0,Male,55
138,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,4,Once a month,0,Female,62
139,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,0,Male,20
140,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Every three months,0,Male,42
141,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,Once a month,1,Male,29
142,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,1,Once a month,0,Male,63
143,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,2,Once a week,0,Male,26
144,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a month,0,Female,19
145,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a year,0,Female,61
146,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,5,Once a week,0,Male,19
147,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,4,Once a month,0,Female,56
148,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Once a year,1,Female,39
149,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,Once a month,0,Male,45
150,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a year,1,Male,52
151,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,0,Once a month,0,Female,42
152,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,0,Female,47
153,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,22
154,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,0,Male,63
155,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Every three months,0,Female,65
156,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,1,Every three months,0,Male,63
157,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,0,Male,25
158,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,1,Once a year,0,Male,62
159,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,Once a year,0,Female,59
160,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a year,0,Male,67
161,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,1,Male,60
162,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,Once a week,0,Male,69
163,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,1,Male,40
164,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Once a year,0,Male,67
165,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,2,Every three months,0,Female,37
166,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-4,Every three months,1,Male,65
167,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,0,Female,64
168,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a month,0,Female,57
169,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,5,Once a week,0,Male,37
170,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,2,Once a month,0,Female,39
171,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,1,Every three months,0,Male,64
172,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-2,Once a year,1,Male,23
173,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,2,Once a week,0,Female,50
174,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,Every three months,1,Male,60
175,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,Once a year,1,Male,32
176,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,1,Female,59
177,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-2,Once a month,1,Male,37
178,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,3,More than once a week,0,Female,25
179,No,Yes,No,No,No,Yes,No,No,No,No,No,3,Once a month,0,Male,55
180,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-2,Once a month,1,Male,25
181,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-3,Once a year,1,Female,35
182,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,Never,1,Female,58
183,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,1,Male,32
184,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,-5,Never,1,Female,45
185,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,Once a year,1,Female,60
186,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a year,0,Male,59
187,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,Once a month,0,Female,36
188,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0,Once a year,1,Male,55
189,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,1,Every three months,0,Female,55
190,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a month,0,Female,22
191,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a week,0,Female,21
192,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a week,0,Male,62
193,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,29
194,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,Once a month,0,Female,36
195,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,Once a year,0,Male,44
196,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,2,Once a year,0,Female,47
197,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-5,Once a year,1,Female,57
198,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Once a year,0,Female,23
199,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,31
200,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,4,More than once a week,0,Female,70
201,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,5,Once a week,0,Male,24
202,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,0,Male,27
203,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,1,Female,58
204,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,2,Once a week,0,Male,51
205,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-2,Every three months,1,Male,36
206,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a month,0,Female,36
207,No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0,Every three months,1,Male,43
208,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,Never,1,Male,64
209,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-3,Once a month,1,Male,52
210,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,1,Never,0,Male,53
211,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,1,Female,52
212,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,3,Once a week,0,Female,33
213,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,0,Male,24
214,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,4,Once a month,0,Female,64
215,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,3,Once a month,0,Male,41
216,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,-5,Once a year,1,Female,56
217,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,0,Female,49
218,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,Once a year,1,Female,24
219,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,2,Every three months,0,Female,62
220,No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,0,Every three months,0,Male,56
221,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,3,Every three months,0,Male,67
222,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Male,27
223,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,Once a year,1,Male,53
224,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,-4,Once a year,1,Female,60
225,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,Once a year,0,Female,51
226,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,-5,Once a year,1,Female,67
227,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Female,27
228,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,Every three months,0,Male,56
229,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,4,Once a month,0,Male,39
230,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,4,Once a week,0,Female,35
231,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,2,Once a month,0,Female,68
232,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,5,Once a week,0,Female,57
233,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,1,Female,50
234,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,3,Once a month,0,Female,64
235,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,Once a week,1,Female,66
236,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,0,Male,27
237,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-5,Never,1,Male,70
238,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,-1,Once a month,1,Male,51
239,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,Once a year,0,Female,60
240,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,Once a year,1,Female,49
241,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-5,Never,1,Female,54
242,No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-5,Never,1,Female,58
243,No,No,No,No,No,Yes,Yes,No,No,No,No,-3,Once a month,1,Female,70
244,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,3,More than once a week,0,Male,59
245,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,1,Once a year,0,Female,54
246,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-3,Every three months,1,Female,52
247,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,4,Once a week,0,Female,22
248,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Every three months,0,Female,53
249,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,More than once a week,0,Female,69
250,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,1,Every three months,0,Male,20
251,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,3,Once a month,0,Female,66
252,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,5,More than once a week,0,Female,25
253,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,5,Once a week,0,Female,31
254,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,1,Once a month,0,Female,67
255,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a month,0,Female,56
256,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,1,Once a year,0,Female,48
257,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,Every three months,1,Female,54
258,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,5,Once a month,0,Male,58
259,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a week,0,Female,42
260,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,4,Once a week,0,Female,38
261,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,2,Every three months,0,Male,28
262,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,3,Once a week,0,Female,47
263,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,Once a year,0,Male,49
264,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,Every three months,0,Female,40
265,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,Once a week,0,Male,31
266,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,-5,Never,1,Male,50
267,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,-1,Once a year,1,Female,69
268,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,4,Once a month,0,Female,40
269,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,5,Once a month,0,Male,30
270,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,Once a year,1,Male,44
271,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,3,Once a month,0,Male,32
272,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,3,Once a week,0,Male,67
273,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,5,Once a week,0,Female,18
274,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,Once a year,1,Female,27
275,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,Once a year,1,Female,61
